"state","average_aqi"
"Kansas",100.60
"Texas",119.31
"Oregon",108.33
"Idaho",104.06
"Alaska",88.50
"Alabama",112.26
"Oklahoma",108.79
"North Carolina",119.74
"Colorado",118.22
"Mississippi",114.08
"Florida",115.32
"Virgin Islands",132.00
"Vermont",123.00
"Delaware",168.00
"Nevada",98.60
"Louisiana",129.78
"New York",130.41
"West Virginia",130.00
"South Carolina",113.45
"New Jersey",164.13
"New Mexico",140.28
"Hawaii",253.67
"Arkansas",100.00
"Missouri",130.33
"Connecticut",152.63
"South Dakota",105.67
"Iowa",107.50
"Indiana",116.09
"Massachusetts",145.08
"Rhode Island",143.33
"Ohio",136.43
"District Of Columbia",187.00
"Michigan",119.46
"Minnesota",106.57
"Pennsylvania",150.57
"Washington",86.77
"Wisconsin",117.52
"Montana",103.79
"Kentucky",116.63
"Arizona",238.38
"Illinois",116.26
"Virginia",114.92
"Maryland",173.44
"Puerto Rico",82.90
"Georgia",131.78
"Wyoming",86.11
"Utah",167.38
"New Hampshire",134.57
"North Dakota",106.40
"Nebraska",106.91
"Maine",125.50
"California",305.60
"Tennessee",123.72
