"state","average_aqi"
"Kansas",97.00
"Texas",122.37
"Oregon",165.48
"Idaho",156.00
"Alaska",99.13
"Alabama",105.72
"Oklahoma",96.96
"North Carolina",87.44
"Colorado",109.48
"Mississippi",87.00
"Florida",87.03
"Virgin Islands",79.50
"Vermont",95.00
"Delaware",129.00
"Nevada",133.22
"Louisiana",109.36
"New York",111.72
"West Virginia",100.60
"South Carolina",84.37
"New Jersey",132.81
"New Mexico",83.12
"Hawaii",106.25
"Arkansas",84.91
"Missouri",100.91
"Connecticut",149.50
"South Dakota",120.40
"Iowa",105.32
"Indiana",105.73
"Massachusetts",119.00
"Rhode Island",161.00
"Ohio",109.73
"District Of Columbia",126.00
"Michigan",116.36
"Minnesota",110.38
"Pennsylvania",118.97
"Washington",152.66
"Wisconsin",110.39
"Montana",175.74
"Kentucky",101.75
"Arizona",179.15
"Illinois",101.62
"Virginia",79.91
"Maryland",124.94
"Puerto Rico",92.45
"Georgia",111.44
"Wyoming",110.26
"Utah",126.64
"New Hampshire",119.14
"North Dakota",150.00
"Nebraska",84.36
"Maine",98.83
"California",242.61
"Tennessee",91.38
