"state","average_aqi"
"Kansas",123.45
"Texas",157.77
"Oregon",116.72
"Idaho",104.84
"Alaska",114.17
"Alabama",153.26
"Oklahoma",122.92
"North Carolina",153.67
"Colorado",98.70
"Mississippi",153.22
"Florida",145.11
"Virgin Islands",98.00
"Vermont",134.75
"Delaware",202.00
"Nevada",156.71
"Louisiana",168.27
"New York",157.89
"West Virginia",156.17
"South Carolina",150.63
"New Jersey",185.88
"New Mexico",89.44
"Hawaii",122.50
"Arkansas",109.24
"Missouri",148.84
"Connecticut",200.13
"South Dakota",106.00
"Iowa",124.21
"Indiana",151.33
"Massachusetts",159.91
"Rhode Island",203.67
"Ohio",163.26
"District Of Columbia",197.00
"Michigan",142.16
"Minnesota",103.30
"Pennsylvania",184.25
"Washington",104.35
"Wisconsin",150.50
"Montana",136.94
"Kentucky",158.25
"Arizona",109.54
"Illinois",142.42
"Virginia",123.53
"Maryland",184.53
"Puerto Rico",87.06
"Georgia",165.25
"Wyoming",106.71
"Utah",116.62
"New Hampshire",133.60
"North Dakota",102.36
"Nebraska",91.67
"Maine",113.86
"California",528.61
"Tennessee",166.97
